date,open,high,low,close,volume,amount
2021-02-05,3224.85,3256.72,3191.46,3193.71,76045480.0,16200155.0
2021-02-08,3202.48,3278.06,3162.59,3278.06,66972656.0,15265627.0
2021-02-09,3291.5,3339.97,3273.06,3334.24,71738960.0,15887766.0
2021-02-10,3350.32,3427.82,3314.67,3413.81,69134928.0,16018054.0
2021-02-18,3475.89,3476.0,3300.18,3320.14,91427752.0,20314196.0
2021-02-19,3289.01,3308.75,3195.95,3285.53,93986272.0,18126196.0
2021-02-22,3278.59,3278.59,3138.65,3138.67,118336664.0,21987592.0
2021-02-23,3099.19,3156.37,3090.32,3112.36,88083784.0,16429695.0
2021-02-24,3112.72,3125.24,2973.88,3007.46,97988560.0,18714776.0
2021-02-25,3040.9,3045.0,2969.03,2977.18,88285848.0,15885551.0
2021-02-26,2907.48,2961.03,2887.81,2914.11,90275928.0,16388365.0
2021-03-01,2958.53,2998.03,2935.08,2994.75,90984640.0,16556227.0
2021-03-02,3019.1,3023.21,2937.89,2966.89,87564872.0,16397554.0
2021-03-03,2951.29,2997.99,2933.83,2997.75,80357920.0,14264120.0
2021-03-04,2962.52,2962.52,2841.15,2851.87,95795008.0,17667812.0
2021-03-05,2800.25,2897.17,2800.25,2871.97,105779688.0,16632793.0
2021-03-08,2889.08,2905.47,2726.34,2728.84,107092800.0,18644234.0
2021-03-09,2717.17,2733.98,2608.24,2633.45,108261656.0,18377610.0
2021-03-10,2708.23,2720.25,2665.7,2676.7,85425560.0,14633837.0
2021-03-11,2682.95,2768.95,2677.57,2746.58,83028384.0,14839805.0
2021-03-12,2768.58,2771.87,2711.33,2756.81,83114960.0,14482773.0
2021-03-15,2737.45,2737.45,2612.45,2644.02,79935704.0,13517283.0
2021-03-16,2664.69,2678.92,2629.36,2672.12,88291560.0,13095509.0
2021-03-17,2662.93,2717.67,2631.73,2704.14,84968440.0,13192127.0
2021-03-18,2717.27,2760.79,2713.85,2748.73,84056848.0,14372651.0
2021-03-19,2697.83,2726.87,2654.0,2671.52,80629032.0,14205790.0
2021-03-22,2683.64,2729.1,2665.62,2698.26,82721008.0,14079874.0
2021-03-23,2684.64,2708.96,2641.37,2668.08,90522752.0,15725581.0
