date,open,high,low,close,volume,amount
2021-02-05,3509.49,3536.54,3492.96,3496.33,290146176.0,39739192.0
2021-02-08,3504.56,3542.21,3492.13,3532.45,249799616.0,35918732.0
2021-02-09,3539.77,3604.01,3528.68,3603.49,253821760.0,37156800.0
2021-02-10,3612.61,3662.77,3612.51,3655.09,257940832.0,39264336.0
2021-02-18,3721.09,3731.69,3663.66,3675.36,340309056.0,48354656.0
2021-02-19,3661.78,3699.65,3634.02,3696.17,361059808.0,48499020.0
2021-02-22,3707.19,3717.27,3642.44,3642.44,488821472.0,59932312.0
2021-02-23,3617.7,3672.15,3617.7,3636.36,398873184.0,47963180.0
2021-02-24,3638.94,3645.65,3531.59,3564.08,362158944.0,48443040.0
2021-02-25,3595.54,3608.56,3568.47,3585.05,366232288.0,44473504.0
2021-02-26,3514.56,3550.41,3500.7,3509.08,333280064.0,42448592.0
2021-03-01,3531.48,3552.57,3511.99,3551.4,315487520.0,40247704.0
2021-03-02,3566.85,3566.85,3485.36,3508.59,339830496.0,42768048.0
2021-03-03,3500.16,3577.62,3498.72,3576.9,347656832.0,41549036.0
2021-03-04,3546.64,3552.2,3487.38,3503.49,393616128.0,46223372.0
2021-03-05,3463.31,3523.57,3456.67,3501.99,356409216.0,40884992.0
2021-03-08,3524.98,3542.3,3421.22,3421.41,387047968.0,45385920.0
2021-03-09,3415.34,3429.15,3328.31,3359.29,407652544.0,45619620.0
2021-03-10,3389.84,3397.03,3354.82,3357.74,299749152.0,33957172.0
2021-03-11,3369.9,3436.83,3369.9,3436.83,322112032.0,36980536.0
2021-03-12,3447.2,3454.51,3417.24,3453.08,358027040.0,38196428.0
2021-03-15,3441.88,3457.49,3392.51,3419.95,367813280.0,38164652.0
2021-03-16,3424.65,3448.88,3406.17,3446.73,316668736.0,33238850.0
2021-03-17,3435.73,3454.06,3410.28,3445.55,280059808.0,30663046.0
2021-03-18,3449.64,3478.14,3449.38,3463.07,284403904.0,31652918.0
2021-03-19,3423.87,3439.52,3389.29,3404.66,309161728.0,33999228.0
2021-03-22,3406.12,3443.66,3404.23,3443.44,312559072.0,33253504.0
2021-03-23,3445.34,3445.42,3390.05,3411.51,326389408.0,34347716.0
2021-03-24,3394.13,3415.3,3362.18,3367.06,317398688.0,34480004.0
2021-03-25,3355.07,3382.23,3344.97,3363.59,270676096.0,29022346.0
2021-03-26,3373.32,3423.22,3373.32,3418.33,274614976.0,32240862.0
2021-03-29,3429.63,3449.83,3409.89,3435.3,284824256.0,32794412.0
2021-03-30,3432.53,3457.63,3423.32,3456.68,285423072.0,33162566.0
2021-03-31,3452.21,3452.21,3420.83,3441.91,283049248.0,31417412.0
2021-04-01,3444.81,3470.03,3438.83,3466.33,275244288.0,29265192.0
2021-04-02,3472.63,3487.59,3462.83,3484.39,262654880.0,31795322.0
2021-04-06,3491.63,3493.28,3471.76,3482.97,234746672.0,28632966.0
2021-04-07,3483.42,3483.42,3453.19,3479.63,295786976.0,32365098.0
2021-04-08,3467.49,3495.91,3459.32,3482.55,331755328.0,34801132.0
2021-04-09,3475.44,3475.45,3442.14,3450.68,280085184.0,30642222.0
2021-04-12,3445.97,3456.16,3403.9,3412.95,309577248.0,33889032.0
2021-04-13,3411.29,3425.39,3387.9,3396.47,270626048.0,29053986.0
2021-04-14,3397.02,3420.03,3392.98,3416.72,233242320.0,26901008.0
2021-04-15,3409.61,3409.61,3373.09,3398.99,234005056.0,27256920.0
2021-04-16,3407.19,3432.63,3394.13,3426.62,258579680.0,29595110.0
2021-04-19,3427.55,3479.01,3414.36,3477.55,302735808.0,36847244.0
2021-04-20,3467.15,3494.3,3463.46,3472.94,285300096.0,35898276.0
2021-04-21,3456.3,3481.25,3450.11,3472.93,253777856.0,32391414.0
2021-04-22,3482.83,3485.36,3456.32,3465.11,251114512.0,31708102.0
2021-04-23,3462.09,3482.36,3456.33,3474.17,249360432.0,32301594.0
2021-04-26,3484.11,3497.12,3438.57,3441.17,276970784.0,38816168.0
2021-04-27,3440.09,3443.85,3417.26,3442.61,253032400.0,32704600.0
2021-04-28,3432.16,3457.07,3423.33,3457.07,247381120.0,34966920.0
2021-04-29,3458.08,3478.23,3447.59,3474.9,276631392.0,37161160.0
2021-04-30,3468.3,3469.09,3426.9,3446.86,312660352.0,40144236.0
2021-05-06,3446.07,3471.24,3426.85,3441.28,310424192.0,40052516.0
2021-05-07,3446.41,3457.89,3416.78,3418.87,353785376.0,41107884.0
2021-05-10,3423.59,3429.74,3401.93,3427.99,374170880.0,39971756.0
2021-05-11,3406.6,3448.1,3384.7,3441.85,350934112.0,39032628.0
2021-05-12,3429.75,3466.37,3428.39,3462.75,311444544.0,34386040.0
2021-05-13,3432.14,3448.02,3418.38,3429.54,319325312.0,35637692.0
2021-05-14,3436.09,3490.64,3422.57,3490.38,336982304.0,41111692.0
2021-05-17,3490.41,3530.51,3490.14,3517.62,322135968.0,42447676.0
2021-05-18,3520.65,3529.01,3510.86,3529.01,271308544.0,33602876.0
2021-05-19,3521.11,3521.11,3503.82,3510.96,278321120.0,34997316.0
2021-05-20,3500.88,3517.74,3486.07,3506.94,326009344.0,39035532.0
2021-05-21,3510.84,3518.38,3479.67,3486.56,283826272.0,35602592.0
2021-05-24,3486.27,3498.3,3469.87,3497.28,289509248.0,36718164.0
2021-05-25,3502.54,3584.58,3502.44,3581.34,341241120.0,47221352.0
2021-05-26,3586.84,3603.49,3585.37,3593.36,341980288.0,45583124.0
2021-05-27,3585.73,3626.36,3579.26,3608.85,309551488.0,42900424.0
2021-05-28,3610.77,3622.18,3582.36,3600.78,349208832.0,45244504.0
2021-05-31,3600.07,3615.66,3580.65,3615.48,331523776.0,44969436.0
2021-06-01,3608.6,3626.07,3581.91,3624.71,352811424.0,47166312.0
2021-06-02,3626.33,3629.29,3584.6,3597.14,348558432.0,45467804.0
2021-06-03,3595.42,3618.51,3584.21,3584.21,354233024.0,44350652.0
2021-06-04,3565.47,3618.8,3561.89,3591.84,330893024.0,43528052.0
2021-06-07,3597.14,3600.38,3581.9,3599.54,303718688.0,43221996.0
2021-06-08,3598.75,3621.52,3563.25,3580.11,304491456.0,44316180.0
2021-06-09,3576.8,3598.71,3572.64,3591.4,298323296.0,40323632.0
2021-06-10,3587.53,3624.34,3584.13,3610.86,318174816.0,44211728.0
2021-06-11,3614.11,3614.4,3587.15,3589.75,360554976.0,49537268.0
2021-06-15,3587.47,3592.95,3547.19,3556.56,349168576.0,44471920.0
2021-06-16,3556.71,3561.09,3513.56,3518.33,312597312.0,41060932.0
2021-06-17,3508.32,3534.2,3507.35,3525.6,277229920.0,38876104.0
2021-06-18,3520.5,3535.62,3503.18,3525.1,296708576.0,44629740.0
2021-06-21,3515.5,3540.3,3504.01,3529.18,280898272.0,42656280.0
2021-06-22,3539.79,3560.19,3536.81,3557.41,307536384.0,43709224.0
2021-06-23,3559.4,3577.47,3549.85,3566.22,310709504.0,47034764.0
2021-06-24,3568.58,3570.49,3548.82,3566.65,335440768.0,46127360.0
2021-06-25,3567.38,3614.3,3564.52,3607.56,346087840.0,48389900.0
2021-06-28,3612.25,3614.36,3594.22,3606.37,321274976.0,45602960.0
2021-06-29,3601.68,3601.83,3570.53,3573.18,306071168.0,44089872.0
2021-06-30,3572.62,3594.12,3569.5,3591.2,268162816.0,41469836.0
2021-07-01,3600.55,3607.7,3573.94,3588.78,291883200.0,45063904.0
2021-07-02,3569.89,3569.89,3514.34,3518.76,291945536.0,45226320.0
2021-07-05,3516.92,3534.32,3510.58,3534.32,288094848.0,44543192.0
2021-07-06,3533.13,3538.35,3496.93,3530.26,314070208.0,49288692.0
2021-07-07,3508.59,3557.88,3504.47,3553.72,318839200.0,45760764.0
2021-07-08,3557.22,3558.68,3521.06,3525.5,350877856.0,52685868.0
2021-07-09,3512.23,3529.31,3485.05,3524.09,349884320.0,49302084.0
2021-07-12,3545.2,3565.03,3527.39,3547.84,403639552.0,56475928.0
2021-07-13,3547.59,3567.48,3542.82,3566.52,362416704.0,51191724.0
2021-07-14,3560.83,3560.83,3525.49,3528.5,372221728.0,50771640.0
2021-07-15,3519.06,3565.93,3514.26,3564.59,363259168.0,50748184.0
2021-07-16,3559.53,3566.0,3537.73,3539.3,366014784.0,51864064.0
2021-07-19,3530.49,3544.88,3506.34,3539.12,336760960.0,48695248.0
2021-07-20,3515.07,3538.64,3509.19,3536.79,293780608.0,42264988.0
2021-07-21,3543.05,3569.09,3543.05,3562.66,338978752.0,51724000.0
2021-07-22,3563.66,3576.47,3558.29,3574.73,381067040.0,56676948.0
2021-07-23,3571.72,3571.85,3541.51,3550.4,446421248.0,60419512.0
2021-07-26,3538.01,3538.01,3424.74,3467.44,442882208.0,63906120.0
2021-07-27,3467.45,3483.87,3380.28,3381.18,469075456.0,70274112.0
2021-07-28,3355.82,3385.54,3312.72,3361.59,395825408.0,56469768.0
2021-07-29,3403.84,3416.61,3382.57,3411.72,344569440.0,53974884.0
2021-07-30,3398.2,3404.88,3370.45,3397.36,381440960.0,56882096.0
2021-08-02,3385.69,3464.29,3367.64,3464.29,432927872.0,65788576.0
2021-08-03,3446.78,3470.66,3435.46,3447.99,400698080.0,60341920.0
2021-08-04,3442.94,3477.6,3440.78,3477.22,348744224.0,54682076.0
2021-08-05,3461.72,3486.16,3449.39,3466.55,348436928.0,54040112.0
2021-08-06,3465.48,3466.39,3436.93,3458.23,336824384.0,51640664.0
2021-08-09,3441.75,3502.84,3438.7,3494.63,349910080.0,53949892.0
2021-08-10,3488.66,3529.93,3477.06,3529.93,345112992.0,55344032.0
2021-08-11,3527.11,3544.09,3524.04,3532.62,383783552.0,54194276.0
2021-08-12,3522.72,3538.4,3513.45,3524.74,381074592.0,53816344.0
2021-08-13,3514.47,3540.08,3500.8,3516.3,378187296.0,53290784.0
2021-08-16,3514.34,3537.85,3510.9,3517.34,391099712.0,53545892.0
2021-08-17,3512.11,3531.73,3438.12,3446.98,422885792.0,57043064.0
2021-08-18,3442.35,3487.44,3437.69,3485.29,389203744.0,53546308.0
2021-08-19,3475.3,3480.46,3446.01,3465.55,382383040.0,53792652.0
2021-08-20,3442.51,3453.15,3394.97,3427.33,391136928.0,55266756.0
2021-08-23,3436.8,3481.25,3436.67,3477.13,384727424.0,56430816.0
2021-08-24,3482.27,3522.7,3481.14,3514.47,430236448.0,61608416.0
2021-08-25,3517.92,3540.39,3510.07,3540.38,450047008.0,59861184.0
2021-08-26,3537.31,3537.32,3499.45,3501.66,502903136.0,62239348.0
2021-08-27,3494.42,3530.19,3493.38,3522.16,455345920.0,59551868.0
2021-08-30,3535.07,3539.49,3512.99,3528.15,512785728.0,69911624.0
2021-08-31,3519.02,3543.94,3496.39,3543.94,524205056.0,70350488.0
2021-09-01,3543.87,3582.32,3514.67,3567.1,667276288.0,84252896.0
2021-09-02,3559.9,3597.37,3557.68,3597.04,572684032.0,69111328.0
2021-09-03,3602.74,3613.95,3569.4,3581.73,614532352.0,74384080.0
2021-09-06,3580.14,3626.29,3580.14,3621.86,521713280.0,65408572.0
2021-09-07,3621.71,3681.93,3615.14,3676.59,547721856.0,65886796.0
2021-09-08,3673.4,3695.32,3661.0,3675.19,586436224.0,67434848.0
2021-09-09,3666.82,3693.45,3662.16,3693.13,604810304.0,67946544.0
2021-09-10,3691.19,3722.87,3681.64,3703.11,635200448.0,75908464.0
2021-09-13,3699.25,3716.83,3692.82,3715.37,557484032.0,69619232.0
2021-09-14,3709.63,3723.85,3655.63,3662.6,564952384.0,69377816.0
2021-09-15,3651.16,3677.53,3638.32,3656.22,474970016.0,60423156.0
2021-09-16,3664.84,3677.92,3606.73,3607.09,546741504.0,67395528.0
2021-09-17,3595.27,3620.96,3569.27,3613.97,516850208.0,62883436.0
2021-09-22,3563.21,3629.45,3560.5,3628.49,472296064.0,55987472.0
2021-09-23,3651.27,3670.95,3632.28,3642.22,534995488.0,63321892.0
2021-09-24,3637.87,3651.43,3607.79,3613.07,507304768.0,60678860.0
2021-09-27,3625.96,3640.81,3559.92,3582.83,510802784.0,64067364.0
